STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,indx,Index,coicop,Classification of individual consumption by purpose (COICOP),geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CY,Cyprus,2023,,131.2182155,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CY,Cyprus,2024,,138.0814667,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2016,,98.51862069,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2017,,103.1474138,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2018,,103.441092,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2019,,107.9106322,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2020,,110.0126437,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2021,,113.9893678,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2022,,135.0186782,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2023,,141.1163793,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,CZ,Czechia,2024,,143.0188406,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2016,,100.175,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2017,,105.2964744,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2018,,105.4121795,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2019,,108.7902913,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2020,,109.5115385,,be,"break in time series, estimated",,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2021,,112.3401961,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2022,,133.5016026,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2023,,140.9525641,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",ACPI,Agricultural commodity price index,CP011,Food,DK,Denmark,2024,,141.1241667,,e,estimated,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2016,,101.1152778,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2017,,107.1234722,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2018,,108.8540278,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2019,,111.9699537,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2020,,112.9216667,,,,,
dataflow,ESTAT:PRC_FSC_IDX(1.0),Food price monitoring tool,A,Annual,I15,"Index, 2015=100",HICP,Harmonised index of consumer prices,CP011,Food,EE,Estonia,2021,,117.3598611,,,,,
